soil_moisture,temperature,humidity,rainfall,rain_probability,wind_speed,soil_type,crop_type,growth_stage,prev_irrigation,hours_since_irrigation,irrigation_required,water_quantity,duration_minutes,risk_level
81.43,40.29,61.56,2.43,63.2,17.6,Peaty,Maize,Maturity,3.3,69.2,0,0.0,0.0,Medium
43.92,31.66,21.36,10.92,47.2,15.7,Loamy,Tomato,Germination,12.7,17.4,0,0.0,0.0,Medium
65.74,19.0,71.93,7.48,72.6,3.0,Sandy,Wheat,Germination,0.1,36.8,0,0.0,0.0,Low
64.51,28.4,32.2,4.02,92.0,1.7,Loamy,Cotton,Flowering,29.9,52.8,0,0.0,0.0,Low
16.31,23.21,82.26,0.02,22.3,24.2,Sandy,Groundnut,Flowering,14.0,31.4,1,11.7,7.4,High
48.95,28.44,69.99,0.16,18.0,25.1,Peaty,Cotton,Flowering,23.2,29.0,0,0.0,0.0,Low
35.75,28.79,87.06,1.9,41.4,23.1,Silty,Maize,Flowering,10.6,15.4,1,23.3,15.7,Medium
71.46,19.13,46.92,2.73,14.2,25.9,Peaty,Maize,Flowering,8.8,32.4,0,0.0,0.0,Low
67.37,25.33,81.27,3.14,29.0,33.8,Loamy,Rice,Fruiting,15.0,70.3,1,5.5,3.1,Medium
37.84,30.24,66.58,2.87,17.0,27.5,Peaty,Groundnut,Maturity,15.5,2.2,1,5.0,3.5,Medium
60.16,36.09,46.72,2.66,31.1,40.0,Loamy,Wheat,Vegetative,18.4,30.5,0,0.0,0.0,Medium
33.35,33.58,26.55,6.49,26.9,9.8,Sandy,Wheat,Fruiting,17.3,39.2,1,10.4,6.2,Medium
63.99,41.21,43.0,1.03,20.6,19.0,Sandy,Sugarcane,Vegetative,6.2,43.8,1,5.0,3.0,High
71.47,29.35,89.38,9.35,92.7,10.5,Peaty,Sugarcane,Flowering,8.9,31.8,0,0.0,0.0,Low
52.11,38.63,55.63,4.82,50.6,15.1,Peaty,Groundnut,Maturity,27.0,23.1,0,0.0,0.0,Medium
58.01,31.39,82.57,2.31,51.7,36.2,Peaty,Cotton,Maturity,27.3,15.7,0,0.0,0.0,Low
78.23,26.68,75.8,2.02,15.4,9.7,Peaty,Maize,Flowering,4.5,52.3,0,0.0,0.0,Low
82.07,25.7,76.81,1.17,78.8,27.2,Peaty,Sugarcane,Germination,11.1,14.8,0,0.0,0.0,Low
60.23,27.76,26.14,2.07,49.4,23.5,Clay,Rice,Flowering,18.4,63.2,1,12.3,7.5,Medium
49.66,24.33,58.64,2.64,6.7,26.1,Loamy,Maize,Fruiting,16.1,60.0,1,5.5,3.0,Medium
69.08,32.45,20.79,1.21,6.2,20.9,Peaty,Maize,Fruiting,6.2,38.0,0,0.0,0.0,Low
44.53,15.64,27.9,2.4,59.1,1.2,Peaty,Cotton,Fruiting,25.2,52.0,0,0.0,0.0,Medium
61.18,15.94,87.76,0.22,37.6,3.2,Clay,Wheat,Vegetative,4.2,63.7,0,0.0,0.0,Low
69.93,35.8,91.37,3.67,99.4,27.5,Sandy,Rice,Vegetative,24.8,20.5,0,0.0,0.0,Medium
43.47,36.65,23.49,2.44,7.0,10.7,Sandy,Groundnut,Flowering,24.2,40.4,1,6.0,3.2,Medium
62.53,32.32,75.99,0.96,28.4,26.2,Clay,Groundnut,Fruiting,29.1,24.6,0,0.0,0.0,Low
37.11,26.0,90.24,5.95,28.6,6.3,Clay,Cotton,Vegetative,10.7,49.1,1,9.7,5.7,Medium
67.69,17.42,86.22,4.36,19.7,24.8,Loamy,Tomato,Flowering,26.7,33.7,0,0.0,0.0,Low
48.65,24.42,32.11,0.12,16.7,18.1,Loamy,Sugarcane,Flowering,7.8,63.0,1,14.5,10.5,Medium
76.45,38.56,66.67,5.15,60.1,38.5,Loamy,Cotton,Germination,23.5,63.2,0,0.0,0.0,Medium
82.19,33.18,78.3,4.04,66.2,33.1,Clay,Tomato,Maturity,16.0,17.1,0,0.0,0.0,Medium
25.74,43.36,32.7,3.14,24.4,36.1,Clay,Maize,Vegetative,19.7,57.0,1,27.9,16.6,High
69.33,29.35,61.29,0.29,37.7,12.7,Peaty,Rice,Germination,19.8,50.7,1,5.0,3.3,Medium
57.83,35.34,59.53,5.16,30.0,32.6,Silty,Sugarcane,Fruiting,2.9,70.4,1,11.5,7.1,Medium
68.35,28.22,22.05,4.67,31.7,34.2,Sandy,Tomato,Maturity,19.8,23.4,0,0.0,0.0,Low
88.71,38.33,21.96,0.82,54.3,28.7,Silty,Rice,Flowering,19.2,27.4,0,0.0,0.0,Medium
31.8,42.47,59.62,0.44,57.3,3.7,Sandy,Maize,Germination,0.9,37.0,1,5.4,3.2,High
81.18,35.5,88.16,0.1,81.2,22.5,Peaty,Sugarcane,Fruiting,28.7,53.8,0,0.0,0.0,Medium
64.42,37.15,47.07,5.17,54.0,12.2,Clay,Rice,Maturity,2.0,68.0,1,5.7,4.9,Medium
41.91,40.32,22.86,9.38,42.4,11.6,Sandy,Cotton,Fruiting,24.0,34.2,0,0.0,0.0,High
88.44,25.25,26.72,4.2,72.7,36.5,Peaty,Rice,Fruiting,24.9,53.7,0,0.0,0.0,Low
32.71,27.02,25.82,1.03,54.4,11.0,Sandy,Tomato,Flowering,15.8,12.2,1,12.3,8.8,Medium
12.53,20.91,89.9,3.58,5.1,11.7,Peaty,Groundnut,Germination,24.9,65.3,1,9.6,5.6,High
57.3,44.97,65.58,4.63,33.4,33.3,Clay,Maize,Fruiting,20.9,21.2,1,5.5,4.1,Medium
80.43,43.47,49.26,1.54,66.6,32.4,Loamy,Tomato,Germination,21.0,26.9,0,0.0,0.0,Medium
44.78,21.35,50.25,14.41,0.1,7.9,Silty,Sugarcane,Fruiting,21.5,25.4,0,0.0,0.0,Medium
52.99,41.26,86.38,0.7,16.3,21.9,Silty,Wheat,Vegetative,28.7,27.2,1,5.0,3.9,Medium
59.25,15.6,75.97,0.82,0.2,34.9,Sandy,Sugarcane,Fruiting,7.2,18.9,1,5.5,3.0,Medium
88.18,18.15,63.48,2.84,72.9,30.4,Clay,Sugarcane,Vegetative,19.9,15.5,0,0.0,0.0,Low
29.82,22.55,31.64,0.69,40.0,29.6,Loamy,Wheat,Germination,21.0,35.4,1,6.7,4.4,Medium
48.89,21.7,67.95,1.45,48.2,33.4,Peaty,Tomato,Flowering,19.6,47.3,0,0.0,0.0,Medium
60.96,44.93,34.26,2.65,84.3,23.5,Sandy,Groundnut,Fruiting,2.4,26.0,0,0.0,0.0,Medium
78.32,30.1,67.29,0.79,71.9,21.9,Silty,Sugarcane,Fruiting,24.3,17.5,0,0.0,0.0,Low
35.61,16.47,81.03,0.41,36.8,19.1,Peaty,Groundnut,Fruiting,21.8,43.0,1,5.5,3.2,Medium
74.31,30.18,57.96,3.88,49.9,24.3,Silty,Maize,Fruiting,12.0,27.7,0,0.0,0.0,Low
90.24,38.91,39.89,3.96,61.0,6.8,Sandy,Groundnut,Germination,6.0,71.3,0,0.0,0.0,Medium
53.64,27.99,71.55,3.02,11.5,31.2,Peaty,Cotton,Germination,19.7,11.2,0,0.0,0.0,Low
84.42,33.96,61.84,0.77,91.8,7.6,Peaty,Wheat,Flowering,29.0,52.4,0,0.0,0.0,Medium
18.53,18.37,27.13,1.23,14.0,10.7,Sandy,Wheat,Maturity,17.9,10.5,1,10.3,5.4,High
95.06,37.86,85.25,6.33,78.4,16.3,Clay,Rice,Fruiting,11.4,46.0,0,0.0,0.0,Medium
34.15,18.98,55.67,0.84,34.9,6.5,Clay,Maize,Germination,2.3,66.2,1,14.6,6.4,Medium
18.49,16.84,85.67,3.94,31.7,20.2,Loamy,Cotton,Vegetative,21.2,5.1,1,19.9,13.5,High
42.66,35.85,86.63,0.48,23.0,4.3,Clay,Sugarcane,Germination,15.4,23.1,1,14.8,9.2,High
28.64,43.38,49.0,0.2,38.8,5.8,Loamy,Wheat,Germination,18.5,4.9,1,10.5,5.6,High
69.91,25.04,21.87,1.34,88.9,27.6,Peaty,Sugarcane,Flowering,17.7,64.2,0,0.0,0.0,Low
44.88,26.35,52.21,4.97,8.9,15.5,Sandy,Rice,Flowering,4.2,0.3,1,15.4,10.5,High
87.68,33.31,70.74,2.11,69.4,6.9,Loamy,Wheat,Germination,4.2,28.9,0,0.0,0.0,Medium
73.98,27.41,53.4,0.19,13.9,15.7,Peaty,Sugarcane,Vegetative,1.4,24.1,0,0.0,0.0,Low
70.87,38.66,73.5,0.8,63.4,25.7,Peaty,Tomato,Vegetative,14.8,50.0,0,0.0,0.0,Medium
23.05,19.09,63.55,0.28,49.1,24.8,Silty,Maize,Maturity,6.2,24.1,1,21.0,11.5,High
77.12,20.12,72.33,9.67,64.1,24.7,Loamy,Tomato,Maturity,2.7,52.5,0,0.0,0.0,Low
65.26,38.95,89.13,13.8,58.1,4.4,Clay,Rice,Germination,23.6,2.0,0,0.0,0.0,High
64.89,41.37,32.4,8.05,94.7,34.9,Peaty,Maize,Maturity,25.7,35.8,0,0.0,0.0,Medium
16.17,18.24,82.59,4.5,32.7,26.3,Loamy,Cotton,Fruiting,15.2,1.3,1,22.7,13.4,High
77.0,26.23,73.7,1.38,42.3,22.6,Sandy,Tomato,Germination,3.3,2.4,0,0.0,0.0,Low
73.88,33.72,62.33,3.02,87.4,29.9,Clay,Maize,Germination,13.9,46.1,0,0.0,0.0,Medium
83.22,19.28,40.13,1.35,14.4,1.8,Peaty,Sugarcane,Flowering,0.4,4.4,0,0.0,0.0,Low
92.42,20.88,74.85,0.19,91.9,3.2,Loamy,Rice,Germination,14.7,32.3,0,0.0,0.0,Low
70.59,35.4,59.97,4.99,64.8,35.1,Sandy,Maize,Fruiting,17.7,62.7,0,0.0,0.0,Medium
29.67,38.12,72.64,0.38,59.1,38.8,Loamy,Tomato,Germination,25.6,50.6,1,11.4,7.8,High
61.15,34.29,86.16,4.61,11.2,15.2,Clay,Wheat,Germination,12.5,70.0,1,5.0,3.4,Medium
43.12,23.86,77.5,6.38,26.1,3.8,Silty,Sugarcane,Fruiting,23.8,31.4,1,20.9,11.7,High
79.21,32.74,32.69,1.96,65.8,17.3,Sandy,Cotton,Maturity,13.5,24.0,0,0.0,0.0,Low
31.27,26.12,23.28,12.98,26.4,5.1,Loamy,Cotton,Flowering,22.2,21.2,0,0.0,0.0,Medium
83.77,15.28,77.42,4.04,83.0,33.7,Peaty,Rice,Germination,23.4,35.5,0,0.0,0.0,Low
55.59,23.33,33.73,10.72,71.7,33.4,Sandy,Maize,Maturity,10.6,53.5,0,0.0,0.0,Low
47.53,18.68,67.0,0.83,27.8,35.9,Silty,Maize,Fruiting,11.8,52.1,1,6.6,6.1,Medium
46.84,33.65,29.22,2.03,65.5,23.2,Clay,Groundnut,Vegetative,4.8,48.3,0,0.0,0.0,Medium
68.21,21.75,80.76,0.8,67.7,17.2,Silty,Sugarcane,Germination,21.4,15.7,0,0.0,0.0,Low
44.67,15.17,55.88,1.68,23.4,2.1,Clay,Maize,Fruiting,23.6,51.5,1,10.4,6.5,Medium
87.3,33.17,54.51,0.28,99.7,22.1,Silty,Rice,Vegetative,12.2,39.4,0,0.0,0.0,Medium
44.08,41.83,63.51,3.06,40.8,27.0,Clay,Tomato,Fruiting,14.3,7.4,1,12.5,6.1,High
82.06,24.91,72.24,8.51,62.6,5.9,Loamy,Tomato,Germination,3.1,62.8,0,0.0,0.0,Low
84.53,36.25,85.82,0.28,33.7,15.9,Silty,Sugarcane,Fruiting,28.7,8.7,0,0.0,0.0,Medium
68.85,18.44,24.98,5.73,77.5,10.5,Silty,Tomato,Flowering,9.3,46.6,0,0.0,0.0,Low
61.16,26.23,59.79,0.09,5.8,27.0,Loamy,Wheat,Vegetative,21.3,53.1,0,0.0,0.0,Low
84.65,44.89,30.0,10.07,60.1,32.5,Sandy,Sugarcane,Germination,17.1,50.7,0,0.0,0.0,Medium
52.06,43.89,38.57,0.03,43.4,14.4,Loamy,Maize,Flowering,23.9,60.7,1,6.0,3.0,High
18.0,38.0,32.76,0.14,8.1,26.3,Sandy,Groundnut,Germination,14.8,11.0,1,8.3,4.4,High
82.33,30.63,74.91,2.92,76.1,29.0,Clay,Tomato,Flowering,24.6,46.5,0,0.0,0.0,Low
86.36,42.94,63.92,0.59,66.4,39.6,Peaty,Wheat,Maturity,22.4,15.0,0,0.0,0.0,Medium
87.56,17.0,55.73,0.94,71.5,38.3,Silty,Rice,Flowering,26.6,32.6,0,0.0,0.0,Low
55.15,22.55,81.23,9.01,46.5,28.0,Sandy,Cotton,Vegetative,19.9,39.4,0,0.0,0.0,Low
87.58,40.23,30.3,0.09,93.4,5.9,Loamy,Maize,Flowering,24.7,51.0,0,0.0,0.0,Medium
85.52,17.69,87.04,6.1,99.8,23.4,Loamy,Maize,Maturity,6.1,48.1,0,0.0,0.0,Low
76.77,35.94,87.97,0.41,26.5,36.8,Silty,Maize,Fruiting,14.5,27.0,0,0.0,0.0,Medium
59.32,26.22,27.95,10.63,57.4,5.1,Silty,Rice,Flowering,16.4,38.4,0,0.0,0.0,Medium
19.38,26.32,67.11,0.36,31.3,16.7,Silty,Groundnut,Maturity,15.2,6.1,1,12.6,6.9,High
89.65,37.05,65.53,1.36,18.2,27.5,Sandy,Sugarcane,Maturity,14.0,52.1,0,0.0,0.0,Medium
45.22,19.84,23.51,0.2,94.2,39.4,Sandy,Groundnut,Maturity,10.1,8.2,0,0.0,0.0,Low
66.67,15.64,53.77,7.15,30.5,7.8,Loamy,Cotton,Flowering,3.2,3.7,0,0.0,0.0,Low
94.9,37.05,22.08,3.38,64.1,38.6,Peaty,Sugarcane,Maturity,11.3,42.5,0,0.0,0.0,Medium
47.79,26.12,69.76,1.2,87.7,4.3,Silty,Wheat,Germination,6.3,20.6,0,0.0,0.0,Low
56.61,35.08,37.27,0.82,57.5,22.4,Peaty,Groundnut,Fruiting,22.7,48.3,0,0.0,0.0,Medium
55.47,25.67,35.89,2.2,66.8,32.0,Clay,Cotton,Fruiting,5.0,1.4,0,0.0,0.0,Low
60.78,17.78,49.33,0.7,68.0,14.6,Silty,Tomato,Germination,10.5,16.2,0,0.0,0.0,Low
47.21,39.71,76.1,1.22,6.4,8.1,Loamy,Maize,Germination,28.7,52.0,1,5.0,3.0,High
43.27,36.61,62.02,14.96,42.5,7.0,Silty,Wheat,Germination,7.1,40.4,0,0.0,0.0,Medium
86.64,16.77,60.51,3.53,24.4,29.6,Clay,Sugarcane,Flowering,4.1,36.8,0,0.0,0.0,Low
70.44,19.35,88.91,1.8,37.2,18.4,Peaty,Tomato,Flowering,19.8,4.3,0,0.0,0.0,Low
50.95,17.39,60.79,6.58,51.5,29.6,Loamy,Sugarcane,Maturity,13.4,23.4,1,7.0,4.0,Medium
71.58,35.95,32.17,0.81,69.2,31.2,Sandy,Sugarcane,Maturity,7.7,22.1,0,0.0,0.0,Medium
62.98,25.72,53.56,1.48,96.0,30.7,Silty,Maize,Flowering,11.5,39.2,0,0.0,0.0,Low
50.29,42.78,29.92,0.09,30.1,31.9,Sandy,Groundnut,Flowering,13.1,18.5,0,0.0,0.0,Medium
30.92,30.25,32.18,0.41,1.2,25.2,Clay,Cotton,Maturity,3.2,23.2,1,9.2,4.4,Medium
81.19,19.07,55.91,1.1,93.1,8.8,Loamy,Cotton,Vegetative,15.5,0.8,0,0.0,0.0,Low
80.76,23.01,56.9,1.12,92.2,21.5,Silty,Wheat,Maturity,2.5,2.9,0,0.0,0.0,Low
47.55,15.58,79.74,2.54,98.6,23.6,Loamy,Cotton,Vegetative,1.5,63.6,0,0.0,0.0,Low
21.0,39.04,53.55,4.35,1.3,1.1,Clay,Cotton,Fruiting,6.3,55.0,1,33.6,21.0,High
19.79,27.77,26.84,3.89,33.7,31.8,Clay,Groundnut,Maturity,16.2,36.6,1,14.3,7.8,High
21.88,22.09,73.51,0.46,32.9,17.7,Sandy,Groundnut,Vegetative,13.5,11.3,1,9.3,7.5,Medium
35.98,25.08,72.69,5.9,38.0,38.6,Peaty,Tomato,Flowering,9.5,66.3,1,17.4,9.9,Medium
63.24,22.46,65.5,2.57,39.7,39.6,Sandy,Groundnut,Flowering,22.5,38.7,0,0.0,0.0,Low
90.05,41.91,30.78,2.13,64.7,20.7,Peaty,Maize,Fruiting,29.7,8.3,0,0.0,0.0,Medium
65.98,31.22,61.23,0.28,41.1,21.8,Sandy,Rice,Germination,27.0,65.3,1,5.0,3.0,Medium
58.67,36.96,83.77,1.85,59.4,33.8,Peaty,Cotton,Germination,19.7,58.7,0,0.0,0.0,Medium
72.69,28.98,67.24,1.22,67.8,18.5,Loamy,Tomato,Germination,25.7,3.6,0,0.0,0.0,Low
64.23,31.71,39.7,9.44,24.4,36.2,Sandy,Tomato,Germination,22.2,55.1,0,0.0,0.0,Low
83.6,19.38,44.33,0.44,72.5,6.4,Loamy,Maize,Flowering,20.8,33.1,0,0.0,0.0,Low
42.95,23.86,68.64,0.16,48.0,10.7,Clay,Maize,Vegetative,10.6,4.4,0,0.0,0.0,Medium
28.66,17.62,36.18,4.57,27.9,5.8,Clay,Groundnut,Fruiting,17.5,50.6,1,9.6,5.7,Medium
38.4,31.77,76.22,3.33,27.7,10.2,Sandy,Groundnut,Fruiting,22.0,6.8,1,5.5,3.9,Medium
92.57,36.68,28.82,0.72,97.6,29.1,Sandy,Rice,Fruiting,9.1,53.4,0,0.0,0.0,Medium
73.7,29.41,81.46,5.37,85.1,32.1,Clay,Maize,Fruiting,11.4,59.9,0,0.0,0.0,Low
80.13,36.98,33.89,1.71,62.0,1.0,Peaty,Rice,Maturity,4.6,39.0,0,0.0,0.0,Medium
93.9,18.64,60.52,2.83,99.8,39.0,Loamy,Wheat,Germination,10.5,71.4,0,0.0,0.0,Low
65.28,37.45,47.8,7.02,28.3,38.7,Clay,Maize,Maturity,29.7,3.9,0,0.0,0.0,Medium
53.34,23.04,84.54,4.37,34.0,0.1,Clay,Tomato,Fruiting,7.1,53.7,1,6.1,3.1,Medium
85.2,43.91,54.58,5.23,70.0,38.7,Sandy,Cotton,Maturity,2.3,51.4,0,0.0,0.0,Medium
59.4,42.33,80.25,12.02,80.7,0.4,Peaty,Wheat,Maturity,0.9,6.8,0,0.0,0.0,Medium
87.74,43.79,24.24,3.07,77.7,18.8,Silty,Sugarcane,Fruiting,27.8,53.6,0,0.0,0.0,Medium
47.52,35.63,55.21,0.39,5.9,38.1,Clay,Groundnut,Maturity,3.1,61.7,1,5.0,3.1,Medium
71.59,25.05,79.76,4.68,95.3,36.7,Sandy,Rice,Flowering,24.9,32.5,0,0.0,0.0,Low
94.77,37.56,87.33,3.16,14.4,37.4,Sandy,Rice,Flowering,13.0,42.8,0,0.0,0.0,Medium
27.02,23.47,40.51,3.11,5.5,3.2,Peaty,Wheat,Vegetative,26.2,45.3,1,13.4,7.3,Medium
93.69,27.4,30.99,0.89,92.6,5.6,Clay,Cotton,Germination,15.1,32.9,0,0.0,0.0,Low
86.39,30.82,43.1,3.69,72.4,13.3,Loamy,Rice,Germination,7.8,52.4,0,0.0,0.0,Low
37.37,25.89,20.43,4.31,56.0,36.0,Peaty,Sugarcane,Maturity,8.1,52.7,1,12.7,8.4,High
78.15,37.21,34.12,0.81,79.3,3.7,Loamy,Sugarcane,Germination,0.7,25.0,0,0.0,0.0,Medium
35.16,17.9,94.13,1.06,8.4,0.2,Peaty,Cotton,Germination,18.9,23.9,1,5.1,3.9,Medium
65.29,24.01,70.45,3.11,57.8,4.6,Loamy,Rice,Germination,10.7,35.4,0,0.0,0.0,Medium
75.56,43.5,35.6,5.08,24.7,17.2,Loamy,Rice,Flowering,4.8,53.1,1,6.0,5.5,Medium
65.33,31.5,75.93,2.56,19.4,23.8,Loamy,Tomato,Fruiting,4.2,58.8,1,5.5,3.2,Low
55.7,38.03,74.38,7.03,3.4,17.9,Clay,Wheat,Germination,2.9,29.6,0,0.0,0.0,Medium
18.47,28.99,34.5,2.64,48.5,20.8,Loamy,Groundnut,Vegetative,15.5,3.6,1,18.7,10.9,High
57.82,15.47,88.91,1.47,98.9,30.5,Peaty,Maize,Maturity,19.8,19.5,0,0.0,0.0,Low
71.29,40.7,81.6,0.39,37.4,26.5,Loamy,Sugarcane,Fruiting,25.8,10.1,0,0.0,0.0,Medium
62.12,30.69,83.33,0.19,22.7,10.4,Loamy,Rice,Maturity,24.1,27.8,1,5.0,3.0,Medium
21.0,36.58,48.62,0.24,1.2,11.5,Peaty,Tomato,Fruiting,6.9,30.2,1,28.2,17.1,High
67.19,30.24,58.33,0.92,66.3,37.8,Clay,Cotton,Maturity,22.5,46.5,0,0.0,0.0,Low
95.2,37.94,92.64,0.89,83.6,24.3,Peaty,Rice,Vegetative,28.4,70.1,0,0.0,0.0,Medium
38.35,16.24,61.64,3.98,25.3,9.0,Loamy,Sugarcane,Vegetative,2.8,47.3,1,18.3,11.0,High
67.39,35.18,27.19,7.2,48.7,15.7,Clay,Cotton,Vegetative,13.1,51.9,0,0.0,0.0,Medium
64.38,26.88,88.42,2.26,70.5,33.8,Loamy,Tomato,Vegetative,5.1,4.9,0,0.0,0.0,Low
90.81,43.6,44.92,1.57,77.1,17.3,Silty,Cotton,Fruiting,15.1,25.0,0,0.0,0.0,Medium
74.21,44.86,76.74,1.58,82.6,21.9,Silty,Sugarcane,Fruiting,22.3,53.7,0,0.0,0.0,Medium
59.0,41.92,31.63,1.47,46.4,11.9,Loamy,Wheat,Maturity,27.4,29.7,0,0.0,0.0,Medium
78.84,16.26,88.43,6.44,97.1,28.7,Clay,Cotton,Maturity,16.8,9.1,0,0.0,0.0,Low
68.47,34.76,82.92,0.61,61.4,2.1,Loamy,Sugarcane,Germination,20.2,5.1,0,0.0,0.0,Medium
90.85,15.3,48.43,0.21,79.2,29.5,Clay,Tomato,Germination,7.1,32.9,0,0.0,0.0,Low
89.39,23.51,88.24,19.92,91.9,31.1,Clay,Sugarcane,Flowering,17.2,13.7,0,0.0,0.0,Low
47.72,34.26,62.33,1.4,13.8,38.3,Loamy,Tomato,Maturity,17.0,54.1,1,5.0,3.7,Medium
29.27,29.13,30.76,6.16,35.8,25.0,Peaty,Tomato,Vegetative,6.2,71.4,1,15.3,8.3,High
67.65,36.61,85.84,8.95,3.2,39.0,Silty,Wheat,Vegetative,11.5,60.3,0,0.0,0.0,Medium
62.54,34.7,59.3,3.88,32.6,25.1,Sandy,Tomato,Vegetative,4.3,10.1,0,0.0,0.0,Medium
20.39,16.61,31.04,0.4,40.3,39.9,Sandy,Groundnut,Maturity,4.4,65.9,1,7.7,5.9,Medium
69.73,27.89,44.32,1.01,88.2,6.5,Peaty,Sugarcane,Maturity,17.2,24.7,0,0.0,0.0,Low
14.24,43.87,47.65,0.56,49.9,29.0,Clay,Groundnut,Maturity,19.0,61.8,1,19.4,10.6,High
70.88,19.82,87.27,2.71,82.5,21.8,Silty,Sugarcane,Fruiting,10.1,27.5,0,0.0,0.0,Low
19.67,16.11,36.97,8.72,1.4,21.8,Silty,Wheat,Flowering,8.6,6.3,0,0.0,0.0,High
84.38,33.82,63.51,1.99,84.6,25.8,Peaty,Groundnut,Germination,23.6,13.8,0,0.0,0.0,Medium
83.62,20.94,63.49,7.43,83.5,7.3,Clay,Cotton,Vegetative,6.9,20.9,0,0.0,0.0,Low
53.17,39.51,36.37,0.49,14.5,18.6,Silty,Rice,Maturity,15.3,27.7,1,9.3,6.3,High
60.06,41.27,85.58,1.77,50.8,16.6,Silty,Sugarcane,Vegetative,26.9,56.7,1,5.0,3.0,High
61.84,34.26,37.94,1.85,47.9,7.1,Peaty,Groundnut,Vegetative,15.8,62.4,0,0.0,0.0,Medium
94.06,19.54,26.19,6.82,91.1,37.5,Clay,Sugarcane,Maturity,14.8,38.2,0,0.0,0.0,Low
37.82,34.74,90.52,0.27,32.7,17.8,Loamy,Groundnut,Fruiting,23.2,31.9,1,5.5,3.3,Medium
36.27,30.45,34.78,0.93,38.4,24.9,Silty,Cotton,Fruiting,11.8,40.7,1,7.9,4.6,Medium
15.32,23.35,86.81,1.53,40.1,16.2,Silty,Groundnut,Vegetative,29.3,10.0,1,20.8,11.2,High
28.19,45.19,30.1,0.64,15.6,23.6,Peaty,Tomato,Vegetative,19.7,57.9,1,20.6,10.4,High
65.33,33.78,94.48,3.17,37.2,13.3,Loamy,Groundnut,Maturity,26.1,34.0,0,0.0,0.0,Medium
56.28,31.12,40.35,21.79,59.0,27.2,Sandy,Wheat,Vegetative,25.4,0.7,0,0.0,0.0,Low
56.69,21.45,24.5,2.88,51.8,30.5,Clay,Cotton,Fruiting,28.8,4.1,0,0.0,0.0,Low
68.37,37.17,41.62,0.74,92.6,22.9,Clay,Sugarcane,Germination,5.8,71.9,0,0.0,0.0,Medium
66.93,18.94,75.61,5.79,65.1,1.7,Clay,Wheat,Vegetative,19.8,70.5,0,0.0,0.0,Low
80.26,39.59,55.34,0.91,13.7,19.5,Loamy,Rice,Vegetative,29.1,62.1,1,5.0,3.0,Medium
49.77,21.82,74.36,2.02,75.1,20.6,Loamy,Wheat,Germination,22.1,60.0,0,0.0,0.0,Low
80.85,22.12,87.3,2.47,53.8,10.6,Peaty,Sugarcane,Fruiting,17.2,11.2,0,0.0,0.0,Low
53.2,44.42,56.11,0.53,10.3,10.8,Sandy,Maize,Maturity,28.4,21.5,1,5.0,3.0,High
60.03,38.66,58.92,1.0,80.9,7.4,Sandy,Cotton,Fruiting,5.5,48.5,0,0.0,0.0,Medium
72.15,28.08,46.05,1.35,27.6,39.2,Clay,Tomato,Flowering,9.5,22.0,0,0.0,0.0,Low
79.0,39.64,52.04,3.62,43.1,15.7,Silty,Tomato,Vegetative,18.4,26.5,0,0.0,0.0,Medium
20.43,29.39,85.75,2.68,24.1,22.7,Loamy,Maize,Maturity,9.4,15.0,1,21.0,11.7,High
59.42,43.51,83.06,0.91,61.6,36.9,Loamy,Maize,Fruiting,15.1,32.8,0,0.0,0.0,Medium
57.68,26.66,73.67,0.68,64.6,27.5,Sandy,Cotton,Maturity,18.0,49.3,0,0.0,0.0,Low
29.7,27.27,48.55,1.87,7.6,22.1,Peaty,Cotton,Fruiting,3.6,33.6,1,12.5,6.1,Medium
53.5,19.98,37.28,1.87,79.7,29.3,Loamy,Cotton,Germination,7.1,41.4,0,0.0,0.0,Low
64.97,36.42,48.38,1.6,37.4,21.5,Silty,Rice,Germination,26.7,50.1,1,5.0,3.6,Medium
76.85,23.82,47.62,1.16,42.6,13.7,Sandy,Rice,Fruiting,8.9,25.3,0,0.0,0.0,Low
68.62,20.1,83.29,0.83,58.9,27.4,Loamy,Wheat,Maturity,18.2,32.6,0,0.0,0.0,Low
64.38,41.6,54.0,4.48,16.8,6.2,Sandy,Sugarcane,Fruiting,17.9,45.5,1,5.5,3.0,High
69.95,37.95,58.43,0.82,55.6,14.2,Silty,Maize,Germination,15.8,2.1,0,0.0,0.0,Medium
40.05,25.51,79.84,2.07,39.7,37.5,Clay,Groundnut,Vegetative,14.0,48.4,0,0.0,0.0,Low
72.8,21.64,83.78,3.83,80.1,37.7,Silty,Sugarcane,Maturity,1.5,20.9,0,0.0,0.0,Low
20.71,41.07,73.03,0.14,15.8,2.8,Sandy,Maize,Maturity,9.2,28.2,1,13.2,6.2,High
65.63,42.67,77.36,3.64,11.5,3.4,Silty,Wheat,Maturity,12.8,32.5,0,0.0,0.0,Medium
44.82,29.41,91.71,3.76,10.3,6.5,Silty,Wheat,Flowering,27.7,17.8,0,0.0,0.0,Low
51.12,40.59,31.11,0.05,69.0,3.9,Clay,Wheat,Vegetative,22.3,19.5,0,0.0,0.0,Medium
31.19,37.07,80.18,9.89,39.6,13.5,Clay,Tomato,Vegetative,5.4,23.1,0,0.0,0.0,Medium
61.17,30.53,52.7,0.57,17.5,25.0,Peaty,Rice,Vegetative,1.7,66.3,1,8.5,3.4,Medium
